birth_year,start_month,end_month,months_investing,total_contributed,ending_value,return_multiple,cumulative_return_pct
1926,1951-01-01,1991-12-01,492,492.00,9010.910427,18.314859,1731.49
1927,1952-01-01,1992-12-01,492,492.00,8628.717513,17.538044,1653.80
1928,1953-01-01,1993-12-01,492,492.00,8373.443411,17.019194,1601.92
1929,1954-01-01,1994-12-01,492,492.00,7508.699046,15.261583,1426.16
1930,1955-01-01,1995-12-01,492,492.00,8913.595021,18.117063,1711.71
1931,1956-01-01,1996-12-01,492,492.00,10061.623780,20.450455,1945.05
1932,1957-01-01,1997-12-01,492,492.00,12219.332685,24.836042,2383.60
1933,1958-01-01,1998-12-01,492,492.00,14299.151584,29.063316,2806.33
1934,1959-01-01,1999-12-01,492,492.00,15783.406277,32.080094,3108.01
1935,1960-01-01,2000-12-01,492,492.00,13529.103897,27.498179,2649.82
1936,1961-01-01,2001-12-01,492,492.00,10988.246801,22.333835,2133.38
1937,1962-01-01,2002-12-01,492,492.00,7971.295063,16.201819,1520.18
1938,1963-01-01,2003-12-01,492,492.00,9074.613986,18.444337,1744.43
1939,1964-01-01,2004-12-01,492,492.00,9365.646249,19.035866,1803.59
1940,1965-01-01,2005-12-01,492,492.00,9149.995652,18.597552,1759.76
1941,1966-01-01,2006-12-01,492,492.00,9786.509500,19.891279,1889.13
1942,1967-01-01,2007-12-01,492,492.00,9647.516963,19.608774,1860.88
1943,1968-01-01,2008-12-01,492,492.00,5868.410144,11.927663,1092.77
1944,1969-01-01,2009-12-01,492,492.00,6524.599185,13.261380,1226.14
1945,1970-01-01,2010-12-01,492,492.00,7018.719035,14.265689,1326.57
1946,1971-01-01,2011-12-01,492,492.00,6654.906739,13.526233,1252.62
1947,1972-01-01,2012-12-01,492,492.00,7021.015412,14.270357,1327.04
1948,1973-01-01,2013-12-01,492,492.00,8498.202644,17.272770,1627.28
1949,1974-01-01,2014-12-01,492,492.00,8999.107052,18.290868,1729.09
1950,1975-01-01,2015-12-01,492,492.00,8194.468391,16.655424,1565.54
1951,1976-01-01,2016-12-01,492,492.00,7944.437049,16.147230,1514.72
1952,1977-01-01,2017-12-01,492,492.00,8547.773328,17.373523,1637.35
1953,1978-01-01,2018-12-01,492,492.00,7385.728334,15.011643,1401.16
1954,1979-01-01,2019-12-01,492,492.00,8219.808361,16.706928,1570.69
1955,1980-01-01,2020-12-01,492,492.00,8493.482654,17.263176,1626.32
1956,1981-01-01,2021-12-01,492,492.00,9495.718770,19.300241,1830.02
1957,1982-01-01,2022-12-01,492,492.00,7061.949453,14.353556,1335.36
